Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime2 TotalJobTime3 TotalJobTime4
1681074000.0 10824.502 295 211 0 891 960 0 892 339 141 619 609 211
1681074000.0 10824.503 297 214 0 897 972 0 896 320 144 620 571 218
1681074000.0 10824.504 297 158 NA 894 925 NA 892 204 NA 596 432 NA
1681074000.0 10824.506 298 209 0 901 957 0 892 333 153 594 573 222
1681074000.0 10824.507 296 217 0 887 971 0 1038 335 156 667 599 225
1681074000.0 10824.508 298 159 NA 890 916 NA 900 203 NA 603 453 NA
1681074000.0 10824.512 297 186 0 902 791 0 889 239 119 581 345 202
1681074000.0 10824.513 297 184 0 894 800 0 886 225 116 590 332 194
1681074000.0 10824.514 295 148 NA 886 752 NA 888 115 NA 594 208 NA
1681074000.0 10824.522 296 177 0 891 766 0 903 240 110 597 351 180
1681074000.0 10824.523 297 178 0 888 767 0 878 223 114 577 329 187
1681074000.0 10824.524 295 144 NA 888 734 NA 894 113 NA 604 180 NA
1681074000.0 10824.582 295 257 0 896 1038 0 897 404 156 602 652 227
1681074000.0 10824.583 291 261 0 891 1048 0 905 410 162 627 688 234
1681074000.0 10824.586 295 255 0 889 1029 0 897 393 156 626 644 228
1681074000.0 10824.587 292 265 0 888 1047 0 895 394 166 603 652 248
1681074000.0 10824.592 290 696 0 893 1707 0 886 1247 308 596 1408 383
1681074000.0 10824.593 296 705 0 900 1706 0 901 1299 317 622 1448 399
1681074000.0 10824.596 294 698 0 901 1751 0 875 1243 310 600 1399 378
1681074000.0 10824.597 295 701 0 898 1734 0 905 1280 316 621 1446 439
1681074000.0 10842.502 291 207 0 883 958 0 902 309 134 618 565 209
1681074000.0 10842.503 290 213 0 900 976 0 893 345 138 619 611 212
1681074000.0 10842.504 292 158 NA 899 921 NA 886 190 NA 614 408 NA
1681074000.0 10842.506 291 208 0 893 963 0 890 351 144 575 604 227
1681074000.0 10842.507 291 215 0 888 993 0 873 335 145 611 601 229
1681074000.0 10842.508 293 158 NA 880 911 NA 880 196 NA 608 419 NA
1681074000.0 11634.502 482 235 0 1285 993 0 583 330 151 531 434 225
1681074000.0 11634.503 475 243 0 1294 1014 0 629 323 148 559 410 225
1681074000.0 11634.504 484 192 NA 1293 962 NA 588 174 NA 512 243 NA
1681074000.0 11634.506 453 236 0 1286 995 0 629 325 145 581 423 216
1681074000.0 11634.507 475 240 0 1288 1010 0 608 329 166 558 432 243
1681074000.0 11634.508 484 193 NA 1296 949 NA 603 183 NA 544 271 NA
1681074000.0 11634.512 475 216 0 1298 812 0 606 288 110 558 389 175
1681074000.0 11634.513 473 221 0 1299 824 0 626 299 106 561 413 166
1681074000.0 11634.514 481 178 NA 1301 788 NA 579 171 NA 513 251 NA
1681074000.0 11634.522 463 213 0 1294 802 0 584 304 116 517 405 187
1681074000.0 11634.523 483 215 0 1291 793 0 598 280 118 532 371 192
1681074000.0 11634.524 479 176 NA 1292 758 NA 582 184 NA 526 249 NA
1681074000.0 11634.582 483 284 0 1307 1054 0 597 388 168 547 437 239
1681074000.0 11634.583 461 294 0 1301 1067 0 627 388 163 574 435 234
1681074000.0 11634.586 459 284 0 1279 1058 0 629 388 166 567 464 242
1681074000.0 11634.587 466 293 0 1291 1061 0 589 388 169 546 442 243
1681074000.0 11634.592 459 718 0 1289 1573 0 1533 1412 375 1499 1318 455
1681074000.0 11634.593 456 720 0 1283 1612 0 1552 1428 399 1543 1337 478
1681074000.0 11634.596 478 715 0 1283 1614 0 1487 1452 403 1471 1345 481
1681074000.0 11634.597 461 722 0 1288 1635 0 1538 1425 372 1498 1320 456
1681074000.0 11650.502 461 231 0 1256 994 0 556 304 140 530 421 208
1681074000.0 11650.503 432 237 0 1260 1001 0 581 318 146 570 444 229
1681074000.0 11650.504 441 191 NA 1264 946 NA 583 181 NA 532 257 NA
1681074000.0 11650.506 461 232 0 1279 992 0 575 310 144 537 436 209
1681074000.0 11650.507 458 241 0 1282 1008 0 593 302 149 563 403 214
1681074000.0 11650.508 465 190 NA 1275 950 NA 568 183 NA 528 262 NA
1681074000.0 136.885502 173 199 0 723 954 0 293 369 109 463 591 183
1681074000.0 136.885512 176 179 0 718 787 0 267 285 114 444 344 174
1681074000.0 136.885522 176 176 0 718 771 0 272 278 115 448 326 180
1681074000.0 136.888502 176 201 0 715 948 0 270 384 102 439 598 167
1681074000.0 136.888512 173 182 0 705 788 0 284 273 109 431 325 175
1681074000.0 136.888522 177 175 0 716 764 0 294 267 112 461 327 181
