Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime2 TotalJobTime3 TotalJobTime4
1689022800.0 11634.502 243 186 0 878 1015 0 288 300 145 238 402 215
1689022800.0 11634.503 240 195 0 881 1028 0 287 293 155 235 382 228
1689022800.0 11634.504 241 138 NA 876 966 NA 278 143 NA 230 223 NA
1689022800.0 11634.506 241 187 0 878 1015 0 300 294 150 246 390 224
1689022800.0 11634.507 242 194 0 885 1023 0 289 312 161 242 409 241
1689022800.0 11634.508 239 136 NA 871 965 NA 280 149 NA 228 231 NA
1689022800.0 11634.512 239 160 0 875 831 0 286 264 113 239 369 185
1689022800.0 11634.513 244 160 0 884 839 0 276 277 121 230 387 203
1689022800.0 11634.514 240 123 NA 886 785 NA 284 137 NA 236 214 NA
1689022800.0 11634.522 240 151 0 878 800 0 292 261 118 260 376 193
1689022800.0 11634.523 239 156 0 879 798 0 281 253 121 228 361 201
1689022800.0 11634.524 242 122 NA 875 769 NA 289 124 NA 259 200 NA
1689022800.0 11634.582 241 233 0 882 1076 0 294 363 169 249 451 254
1689022800.0 11634.583 241 243 0 885 1097 0 288 364 179 236 438 257
1689022800.0 11634.586 239 230 0 883 1085 0 287 352 173 233 430 254
1689022800.0 11634.587 241 240 0 880 1095 0 293 370 175 242 447 256
1689022800.0 11634.592 242 640 0 883 1610 0 287 1244 317 236 1228 400
1689022800.0 11634.593 243 646 0 891 1623 0 297 1281 306 240 1234 393
1689022800.0 11634.596 239 661 0 880 1598 0 284 2278 303 234 2265 387
1689022800.0 11634.597 239 649 0 878 1586 0 299 1291 301 265 1233 383
1689022800.0 11650.502 235 186 0 867 1028 0 268 270 142 226 381 219
1689022800.0 11650.503 232 193 0 871 1030 0 280 283 155 242 385 231
1689022800.0 11650.504 232 136 NA 867 959 NA 267 142 NA 235 217 NA
1689022800.0 11650.506 233 185 0 870 1023 0 273 275 144 248 393 221
1689022800.0 11650.507 234 191 0 869 1034 0 277 298 156 234 416 231
1689022800.0 11650.508 234 137 NA 867 963 NA 268 144 NA 229 218 NA
1689022800.0 12434.502 442 210 0 1349 1040 0 665 367 149 523 466 228
1689022800.0 12434.503 449 215 0 1347 1034 0 663 388 159 522 490 235
1689022800.0 12434.504 445 169 NA 1350 996 NA 661 199 NA 523 277 NA
1689022800.0 12434.506 445 209 0 1364 1034 0 667 377 153 524 484 232
1689022800.0 12434.507 442 214 0 1343 1051 0 667 368 162 526 457 240
1689022800.0 12434.508 443 169 NA 1351 980 NA 650 205 NA 515 291 NA
1689022800.0 12434.512 444 191 0 1343 873 0 677 346 116 547 460 192
1689022800.0 12434.513 442 193 0 1363 865 0 660 349 115 517 460 187
1689022800.0 12434.514 444 155 NA 1356 816 NA 650 196 NA 508 271 NA
1689022800.0 12434.522 444 188 0 1362 835 0 663 357 123 527 444 201
1689022800.0 12434.523 449 190 0 1357 848 0 680 343 120 540 419 203
1689022800.0 12434.524 446 154 NA 1343 806 NA 651 195 NA 520 266 NA
1689022800.0 12434.582 443 256 0 1340 1106 0 661 430 166 538 469 261
1689022800.0 12434.583 446 262 0 1342 1113 0 669 440 176 522 468 256
1689022800.0 12434.587 446 264 0 1358 1130 0 655 442 178 535 471 256
1689022800.0 12434.593 443 716 0 1342 1680 0 778 1598 373 665 1498 457
1689022800.0 12434.596 447 707 0 1320 1662 0 791 1607 368 663 1475 453
1689022800.0 12434.597 453 713 0 1366 1666 0 896 1605 366 778 1466 449
1689022800.0 12450.502 433 208 0 1349 1025 0 636 371 149 525 483 228
1689022800.0 12450.503 434 216 0 1338 1050 0 637 350 156 519 458 232
1689022800.0 12450.504 435 169 NA 1331 1005 NA 641 196 NA 529 277 NA
1689022800.0 12450.506 436 207 0 1341 1041 0 631 367 145 523 471 219
1689022800.0 12450.507 441 216 0 1355 1061 0 628 361 159 532 463 239
1689022800.0 12450.508 438 169 NA 1348 987 NA 619 202 NA 521 292 NA
1689022800.0 141.008506 416 215 0 1342 1041 0 2192 638 110 894 486 187
1689022800.0 141.008512 423 197 0 1348 861 0 2215 371 117 909 425 195
1689022800.0 141.008522 0 NA NA 0 NA NA 0 NA NA 0 NA NA
