Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1680386400.0 1.0 87 81 191 NA NA NA NA NA 185 359 323 NA NA NA NA NA 1911 472 924 NA NA NA NA NA 1566 635 1316 NA NA NA NA NA
1680386400.0 10.0 NA 126 476 0 NA NA NA NA NA 364 574 0 NA NA NA NA NA 2102 2974 496 NA NA NA NA NA 1774 3045 637 NA NA NA NA
1680386400.0 1000.0 NA 412 161 0 55 NA NA NA NA 500 254 0 89 NA NA NA NA 2487 1188 634 256 NA NA NA NA 3207 1089 897 282 NA NA NA
1680386400.0 10001.0 NA 230 679 89 0 NA NA NA NA 489 823 135 0 NA NA NA NA 1274 2079 355 1640 NA NA NA NA 1981 3600 528 2608 NA NA NA
1680386400.0 10002.0 NA 192 657 85 0 NA NA NA NA 482 826 134 0 NA NA NA NA 1318 2116 392 1688 NA NA NA NA 1922 4411 650 2021 NA NA NA
1680386400.0 10003.0 NA 196 666 85 0 NA NA NA NA 479 796 134 0 NA NA NA NA 1332 2163 390 1693 NA NA NA NA 1730 4929 1192 2025 NA NA NA
1680386400.0 10004.0 NA 230 686 92 0 NA NA NA NA 483 816 134 0 NA NA NA NA 1261 2080 368 1655 NA NA NA NA 2109 4400 1180 2047 NA NA NA
1680386400.0 10005.0 NA 188 658 90 0 NA NA NA NA 480 799 133 0 NA NA NA NA 1300 2100 372 1986 NA NA NA NA 3916 3590 879 2246 NA NA NA
1680386400.0 10006.0 NA 187 657 83 0 NA NA NA NA 481 823 134 0 NA NA NA NA 1298 2090 375 1669 NA NA NA NA 4049 4740 1343 1946 NA NA NA
1680386400.0 10007.0 NA 190 660 94 0 NA NA NA NA 481 826 144 0 NA NA NA NA 1318 2131 400 1702 NA NA NA NA 2307 3667 1299 2078 NA NA NA
