Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1680991200.0 115.0 91 89 433 NA NA NA NA NA 190 360 544 NA NA NA NA NA 3527 527 1643 NA NA NA NA NA 3218 619 2596 NA NA NA NA NA
1680991200.0 116.0 86 86 440 NA NA NA NA NA 185 367 535 NA NA NA NA NA 3506 486 1549 NA NA NA NA NA 2227 791 2772 NA NA NA NA NA
1680991200.0 11623.0 62 193 666 83 0 NA NA NA 110 479 832 134 0 NA NA NA 1826 1435 2294 413 1838 NA NA NA 3782 4334 9267 765 2366 NA NA NA
1680991200.0 11624.0 72 215 693 95 0 NA NA NA 121 488 854 144 0 NA NA NA 3828 1621 2609 469 1856 NA NA NA 3727 6588 10146 799 2463 NA NA NA
1680991200.0 11625.0 66 208 675 84 0 NA NA NA 114 479 843 134 0 NA NA NA 3075 1530 2445 418 1858 NA NA NA 4436 4098 11211 1010 2452 NA NA NA
1680991200.0 11626.0 72 228 691 93 0 NA NA NA 122 480 853 144 0 NA NA NA 6128 1782 2818 522 1920 NA NA NA 6657 4612 11072 1422 2738 NA NA NA
1680991200.0 118.0 85 87 443 NA NA NA NA NA 180 367 544 NA NA NA NA NA 4113 514 1621 NA NA NA NA NA 2508 996 2778 NA NA NA NA NA
1680991200.0 119.0 90 86 437 NA NA NA NA NA 188 360 549 NA NA NA NA NA 3067 473 1523 NA NA NA NA NA 2067 1059 2369 NA NA NA NA NA
1680991200.0 12.0 NA 109 457 0 NA NA NA NA NA 371 567 0 NA NA NA NA NA 2038 2986 514 NA NA NA NA NA 1664 3232 698 NA NA NA NA
1680991200.0 120.0 58 78 422 NA NA NA NA NA 137 367 528 NA NA NA NA NA 1077 443 1508 NA NA NA NA NA 2308 752 2385 NA NA NA NA NA
1680991200.0 12024.0 71 219 698 0 NA NA NA NA 120 480 860 0 NA NA NA NA 4066 1661 2624 1874 NA NA NA NA 3997 6994 8783 2455 NA NA NA NA
1680991200.0 121.0 89 89 439 NA NA NA NA NA 188 367 543 NA NA NA NA NA 3863 530 1617 NA NA NA NA NA 2490 520 2801 NA NA NA NA NA
1680991200.0 122.0 55 77 415 NA NA NA NA NA 130 367 522 NA NA NA NA NA 1033 358 1453 NA NA NA NA NA 1288 568 2514 NA NA NA NA NA
1680991200.0 125.0 87 83 432 NA NA NA NA NA 187 367 522 NA NA NA NA NA 2828 496 1578 NA NA NA NA NA 1857 604 2274 NA NA NA NA NA
1680991200.0 128.0 57 81 420 NA NA NA NA NA 122 360 536 NA NA NA NA NA 792 484 1492 NA NA NA NA NA 1159 671 2385 NA NA NA NA NA
1680991200.0 13.0 NA 89 441 0 NA NA NA NA NA 363 549 0 NA NA NA NA NA 453 1970 460 NA NA NA NA NA 1683 2915 593 NA NA NA NA
1680991200.0 130.0 60 80 424 NA NA NA NA NA 125 360 535 NA NA NA NA NA 841 466 1471 NA NA NA NA NA 823 592 2081 NA NA NA NA NA
1680991200.0 1303.0 89 105 228 NA NA NA NA NA 159 377 343 NA NA NA NA NA 6646 488 1385 NA NA NA NA NA 3090 652 1722 NA NA NA NA NA
1680991200.0 1306.0 NA 96 549 0 NA NA NA NA NA 381 682 0 NA NA NA NA NA 466 1531 587 NA NA NA NA NA 725 3060 831 NA NA NA NA
1680991200.0 1309.0 NA 107 563 0 NA NA NA NA NA 373 696 0 NA NA NA NA NA 518 1743 612 NA NA NA NA NA 619 3012 794 NA NA NA NA
1680991200.0 1311.0 NA 97 485 0 57 NA NA NA NA 381 604 0 104 NA NA NA NA 468 1110 582 217 NA NA NA NA 664 3164 679 955 NA NA NA
1680991200.0 1312.0 NA 102 566 0 NA NA NA NA NA 373 672 0 NA NA NA NA NA 516 1704 605 NA NA NA NA NA 763 2945 775 NA NA NA NA
1680991200.0 1314.0 NA 101 560 0 NA NA NA NA NA 381 671 0 NA NA NA NA NA 520 1665 615 NA NA NA NA NA 651 3384 838 NA NA NA NA
1680991200.0 1316.0 NA 97 554 0 NA NA NA NA NA 381 672 0 NA NA NA NA NA 462 1581 603 NA NA NA NA NA 742 2436 819 NA NA NA NA
1680991200.0 1317.0 NA 94 551 0 NA NA NA NA NA 381 655 0 NA NA NA NA NA 469 1551 588 NA NA NA NA NA 1211 2727 771 NA NA NA NA
1680991200.0 1322.0 NA 95 553 0 NA NA NA NA NA 381 680 0 NA NA NA NA NA 477 1580 591 NA NA NA NA NA 651 2718 777 NA NA NA NA
1680991200.0 1324.0 NA 104 566 0 NA NA NA NA NA 381 676 0 NA NA NA NA NA 545 1716 612 NA NA NA NA NA 732 2765 782 NA NA NA NA
1680991200.0 1325.0 NA 106 568 0 69 NA NA NA NA 381 686 0 116 NA NA NA NA 563 1771 590 244 NA NA NA NA 749 3819 807 721 NA NA NA
1680991200.0 1325.2 NA 106 565 0 NA NA NA NA NA 381 685 0 NA NA NA NA NA 540 1755 611 NA NA NA NA NA 623 3028 817 NA NA NA NA
1680991200.0 1325.4 NA 107 567 0 NA NA NA NA NA 381 678 0 NA NA NA NA NA 556 1765 614 NA NA NA NA NA 1378 3301 840 NA NA NA NA
1680991200.0 1325.5 NA 192 0 NA NA NA NA NA NA 293 0 NA NA NA NA NA NA 4333 130 NA NA NA NA NA NA 5739 591 NA NA NA NA NA
1680991200.0 1325.6 NA 165 NA NA NA NA NA NA NA 241 NA NA NA NA NA NA NA 2255 NA NA NA NA NA NA NA 2488 NA NA NA NA NA NA
1680991200.0 1326.0 NA 100 558 0 NA NA NA NA NA 381 677 0 NA NA NA NA NA 519 1637 600 NA NA NA NA NA 1114 3522 776 NA NA NA NA
1680991200.0 1329.0 NA 98 554 0 NA NA NA NA NA 381 680 0 NA NA NA NA NA 486 1603 605 NA NA NA NA NA 1278 2457 790 NA NA NA NA
1680991200.0 133.0 91 91 443 NA NA NA NA NA 187 360 543 NA NA NA NA NA 5332 540 1701 NA NA NA NA NA 2137 551 2643 NA NA NA NA NA
1680991200.0 1330.0 NA 99 557 0 NA NA NA NA NA 381 681 0 NA NA NA NA NA 519 1655 606 NA NA NA NA NA 702 3628 830 NA NA NA NA
1680991200.0 1331.0 NA 102 557 0 NA NA NA NA NA 373 680 0 NA NA NA NA NA 527 1620 601 NA NA NA NA NA 1749 3642 793 NA NA NA NA
1680991200.0 1332.0 NA 107 570 0 NA NA NA NA NA 381 686 0 NA NA NA NA NA 563 1680 605 NA NA NA NA NA 1706 3257 809 NA NA NA NA
1680991200.0 1333.0 NA 102 560 0 NA NA NA NA NA 374 670 0 NA NA NA NA NA 506 1599 606 NA NA NA NA NA 629 3267 804 NA NA NA NA
1680991200.0 1334.0 NA 106 568 0 NA NA NA NA NA 374 666 0 NA NA NA NA NA 539 1683 608 NA NA NA NA NA 1035 2754 810 NA NA NA NA
1680991200.0 1337.0 NA 109 578 0 NA NA NA NA NA 381 679 0 NA NA NA NA NA 631 2084 627 NA NA NA NA NA 1267 3994 892 NA NA NA NA
1680991200.0 1338.0 NA 107 568 0 NA NA NA NA NA 381 672 0 NA NA NA NA NA 566 1755 609 NA NA NA NA NA 1067 3095 805 NA NA NA NA
1680991200.0 1339.0 NA 111 578 0 NA NA NA NA NA 381 686 0 NA NA NA NA NA 614 1936 607 NA NA NA NA NA 1404 3232 839 NA NA NA NA
1680991200.0 134.0 NA 422 37 0 NA NA NA NA NA 515 76 0 NA NA NA NA NA 3003 126 73 NA NA NA NA NA 3914 562 326 NA NA NA NA
1680991200.0 134.701 NA 31 501 0 NA NA NA NA NA 87 599 0 NA NA NA NA NA 285 4432 664 NA NA NA NA NA 815 3429 852 NA NA NA NA
1680991200.0 134.702 NA 32 502 0 NA NA NA NA NA 82 603 0 NA NA NA NA NA 248 5570 642 NA NA NA NA NA 479 3867 1014 NA NA NA NA
1680991200.0 134.703 NA 31 510 0 NA NA NA NA NA 86 625 0 NA NA NA NA NA 296 5647 658 NA NA NA NA NA 363 4351 1376 NA NA NA NA
1680991200.0 134.704 NA 35 506 0 NA NA NA NA NA 82 601 0 NA NA NA NA NA 255 5431 652 NA NA NA NA NA 828 4033 884 NA NA NA NA
1680991200.0 134.705 NA 32 515 0 NA NA NA NA NA 84 620 0 NA NA NA NA NA 320 5784 668 NA NA NA NA NA 1000 3548 828 NA NA NA NA
1680991200.0 134.706 NA 37 512 0 NA NA NA NA NA 84 609 0 NA NA NA NA NA 273 5881 680 NA NA NA NA NA 646 3815 905 NA NA NA NA
1680991200.0 134.707 NA 31 502 0 NA NA NA NA NA 83 610 0 NA NA NA NA NA 287 5381 630 NA NA NA NA NA 357 3849 945 NA NA NA NA
1680991200.0 134.708 NA 30 502 0 NA NA NA NA NA 85 597 0 NA NA NA NA NA 284 5160 641 NA NA NA NA NA 908 3958 851 NA NA NA NA
1680991200.0 134.709 NA 32 680 0 NA NA NA NA NA 84 797 0 NA NA NA NA NA 280 5438 636 NA NA NA NA NA 593 4467 959 NA NA NA NA
1680991200.0 134.71 NA 30 493 0 NA NA NA NA NA 79 591 0 NA NA NA NA NA 275 3943 636 NA NA NA NA NA 652 3581 830 NA NA NA NA
1680991200.0 134.801 NA 39 501 0 NA NA NA NA NA 84 599 0 NA NA NA NA NA 251 4148 624 NA NA NA NA NA 539 3889 809 NA NA NA NA
