Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1680991200.0 115.0 87 101 280 NA NA NA NA 215 585 414 NA NA NA NA 2247 437 1764 NA NA NA NA 992 1144 3763 NA NA NA NA
1680991200.0 11623.0 65 162 350 0 71 NA NA 126 560 564 0 131 NA NA 1456 752 1908 1067 279 NA NA 1875 1244 3437 2075 1789 NA NA
1680991200.0 11624.0 71 170 365 0 79 NA NA 133 510 542 0 134 NA NA 2973 807 2103 1071 272 NA NA 1579 1583 2805 1272 516 NA NA
1680991200.0 11625.0 66 164 354 0 72 NA NA 127 603 569 0 131 NA NA 1965 776 1971 1087 732 NA NA 1433 1278 3672 1722 1097 NA NA
1680991200.0 11642.0 65 162 355 0 78 NA NA 125 554 545 0 134 NA NA 1276 675 1916 1073 267 NA NA 1467 1509 3565 1892 525 NA NA
1680991200.0 117.0 92 124 277 NA NA NA NA 214 541 441 NA NA NA NA 2699 480 1798 NA NA NA NA 1658 1295 2960 NA NA NA NA
1680991200.0 118.0 87 110 281 NA NA NA NA 214 586 424 NA NA NA NA 3009 489 1863 NA NA NA NA 1857 1252 3075 NA NA NA NA
1680991200.0 120.0 61 151 263 NA NA NA NA 135 585 425 NA NA NA NA 875 396 1623 NA NA NA NA 1495 1205 2269 NA NA NA NA
1680991200.0 12024.0 71 170 364 0 NA NA NA 132 605 542 0 NA NA NA 3000 842 2102 1068 NA NA NA 2601 1412 3292 1284 NA NA NA
1680991200.0 121.0 92 125 281 NA NA NA NA 223 582 419 NA NA NA NA 2932 472 1806 NA NA NA NA 1615 629 3068 NA NA NA NA
1680991200.0 122.0 47 0 0 NA NA NA NA 106 0 0 NA NA NA NA 1065 190 1421 NA NA NA NA 1842 413 2298 NA NA NA NA
1680991200.0 123.2 313 NA NA NA NA NA NA 684 NA NA NA NA NA NA 1091 NA NA NA NA NA NA 1401 NA NA NA NA NA NA
1680991200.0 124.1 271 NA NA NA NA NA NA 690 NA NA NA NA NA NA 899 NA NA NA NA NA NA 2232 NA NA NA NA NA NA
1680991200.0 124.2 299 NA NA NA NA NA NA 689 NA NA NA NA NA NA 976 NA NA NA NA NA NA 2103 NA NA NA NA NA NA
1680991200.0 124.4 280 NA NA NA NA NA NA 686 NA NA NA NA NA NA 898 NA NA NA NA NA NA 2223 NA NA NA NA NA NA
1680991200.0 125.0 92 99 272 NA NA NA NA 214 585 422 NA NA NA NA 2081 451 1709 NA NA NA NA 1466 1341 2763 NA NA NA NA
1680991200.0 126.0 63 109 266 NA NA NA NA 135 539 422 NA NA NA NA 1442 400 1685 NA NA NA NA 1195 786 3042 NA NA NA NA
1680991200.0 127.0 62 161 272 NA NA NA NA 132 584 423 NA NA NA NA 1200 408 1659 NA NA NA NA 1127 592 2143 NA NA NA NA
1680991200.0 128.0 62 99 268 NA NA NA NA 136 584 418 NA NA NA NA 856 419 1607 NA NA NA NA 958 935 2496 NA NA NA NA
1680991200.0 129.0 62 123 261 NA NA NA NA 132 584 426 NA NA NA NA 774 415 1622 NA NA NA NA 1029 912 2939 NA NA NA NA
1680991200.0 13.0 NA 115 288 0 NA NA NA NA 585 436 0 NA NA NA NA 401 2197 540 NA NA NA NA 988 4297 765 NA NA NA
1680991200.0 130.0 62 131 267 NA NA NA NA 133 583 417 NA NA NA NA 972 406 1681 NA NA NA NA 1015 1882 2981 NA NA NA NA
1680991200.0 1301.0 83 151 189 NA NA NA NA 161 554 361 NA NA NA NA 2002 412 1207 NA NA NA NA 2736 946 1984 NA NA NA NA
1680991200.0 1301.17 67 152 207 NA NA NA NA 141 554 411 NA NA NA NA 1429 555 1281 NA NA NA NA 1274 1541 1869 NA NA NA NA
1680991200.0 1302.0 82 155 199 NA NA NA NA 180 590 338 NA NA NA NA 3046 454 1334 NA NA NA NA 1443 619 2577 NA NA NA NA
1680991200.0 1303.17 79 162 213 NA NA NA NA 158 550 389 NA NA NA NA 5489 544 1615 NA NA NA NA 2815 1704 2119 NA NA NA NA
1680991200.0 1306.0 NA 154 319 0 NA NA NA NA 560 482 0 NA NA NA NA 426 1685 589 NA NA NA NA 773 2369 856 NA NA NA
