Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1681246800.0 13034.0 NA 507 841 0 NA NA NA NA 779 1300 0 NA NA NA NA 2810 4287 664 NA NA NA NA 2434 5105 1179 NA NA NA
1681246800.0 131.0 70 121 264 NA NA NA NA 239 263 514 NA NA NA NA 914 360 1493 NA NA NA NA 1260 1098 2289 NA NA NA NA
1681246800.0 132.0 83 121 274 NA NA NA NA 294 270 515 NA NA NA NA 2145 385 1591 NA NA NA NA 2306 565 1612 NA NA NA NA
1681246800.0 13240.303 518 NA NA NA NA NA NA 842 NA NA NA NA NA NA 2686 NA NA NA NA NA NA 1651 NA NA NA NA NA NA
1681246800.0 133.0 90 118 279 NA NA NA NA 296 272 509 NA NA NA NA 2808 392 1680 NA NA NA NA 1597 691 1638 NA NA NA NA
1681246800.0 136.761 NA 99 331 0 NA NA NA NA 247 726 0 NA NA NA NA 485 14006 267 NA NA NA NA 755 6393 593 NA NA NA
1681246800.0 136.763 NA 91 308 0 NA NA NA NA 242 639 0 NA NA NA NA 518 12385 242 NA NA NA NA 1106 5859 495 NA NA NA
1681246800.0 136.819 NA 120 440 0 NA NA NA NA 265 984 0 NA NA NA NA 437 13412 310 NA NA NA NA 760 6479 636 NA NA NA
1681246800.0 136.831 NA 122 445 0 NA NA NA NA 271 962 0 NA NA NA NA 448 14723 303 NA NA NA NA 565 7224 466 NA NA NA
1681246800.0 136.864 NA 115 454 0 NA NA NA NA 263 1014 0 NA NA NA NA 424 14168 310 NA NA NA NA 839 6775 567 NA NA NA
1681246800.0 136.865 NA 122 454 0 NA NA NA NA 282 920 0 NA NA NA NA 414 13661 307 NA NA NA NA 565 6617 476 NA NA NA
1681246800.0 136.892 NA 112 592 0 NA NA NA NA 269 1030 0 NA NA NA NA 379 10094 423 NA NA NA NA 1067 5572 761 NA NA NA
1681246800.0 136.9 NA 186 163 255 139 NA NA NA 413 363 497 303 NA NA NA 7077 1197 1496 921 NA NA NA 18674 2450 3396 1322 NA NA
1681246800.0 139.005 NA 94 69 NA NA NA NA NA 280 285 NA NA NA NA NA 19533 8157 NA NA NA NA NA 42939 4507 NA NA NA NA
1681246800.0 140.007 NA 235 573 0 NA NA NA NA 480 1110 0 NA NA NA NA 960 3640 668 NA NA NA NA 1722 4772 822 NA NA NA
1681246800.0 140.008 NA 207 563 0 NA NA NA NA 437 1115 0 NA NA NA NA 854 3444 663 NA NA NA NA 1758 4142 997 NA NA NA
1681246800.0 140.113 NA 288 655 120 NA NA NA NA 545 1238 280 NA NA NA NA 1824 6918 767 NA NA NA NA 1512 5183 853 NA NA NA
1681246800.0 140.114 NA 294 657 112 NA NA NA NA 565 1244 269 NA NA NA NA 2743 13475 957 NA NA NA NA 1784 6860 1041 NA NA NA
1681246800.0 144.6 NA 281 NA NA NA NA NA NA 526 NA NA NA NA NA NA 2685 NA NA NA NA NA NA 5718 NA NA NA NA NA
1681246800.0 2.0 91 124 194 NA NA NA NA 299 271 429 NA NA NA NA 2744 425 1161 NA NA NA NA 1598 1103 1579 NA NA NA NA
1681246800.0 2017.11 955 0 129 87 NA NA NA 1471 0 304 250 NA NA NA 1331 314 727 372 NA NA NA 2528 515 1040 756 NA NA NA
1681246800.0 20834.21 NA 324 210 157 NA NA NA NA 599 487 343 NA NA NA NA 1871 1521 1340 NA NA NA NA 1693 2079 1599 NA NA NA
1681246800.0 20896.0 NA 459 376 0 124 NA NA NA 708 643 0 299 NA NA NA 2025 2395 526 603 NA NA NA 2415 4150 989 1314 NA NA
1681246800.0 20900.0 NA 457 366 0 124 NA NA NA 688 673 0 298 NA NA NA 1986 2363 524 613 NA NA NA 2614 3796 834 1341 NA NA
1681246800.0 21034.21 NA 734 633 208 NA NA NA NA 1222 1176 411 NA NA NA NA 10200 8641 1990 NA NA NA NA 6801 4849 1636 NA NA NA
1681246800.0 21061.97 939 NA NA NA NA NA NA 1507 NA NA NA NA NA NA 7897 NA NA NA NA NA NA 5551 NA NA NA NA NA NA
1681246800.0 22434.0 122 431 419 0 130 NA NA 284 673 735 0 305 NA NA 6798 1906 2852 571 1149 NA NA 4424 2308 5279 1226 1850 NA NA
1681246800.0 23234.0 124 450 417 0 131 NA NA 289 667 732 0 319 NA NA 8111 2089 2970 596 1212 NA NA 4763 3217 4807 1248 1628 NA NA
1681246800.0 23634.21 NA 331 212 156 NA NA NA NA 608 479 336 NA NA NA NA 1882 1515 1346 NA NA NA NA 2009 2007 1479 NA NA NA
1681246800.0 23634.911 135 527 428 0 132 NA NA 302 731 719 0 303 NA NA 11253 5694 5758 1663 1132 NA NA 7694 6520 5432 2964 1575 NA NA
1681246800.0 23834.9921 NA 822 788 564 202 NA NA NA 1389 1339 1109 406 NA NA NA 7370 4505 8380 1985 NA NA NA 6976 3564 4799 1662 NA NA
1681246800.0 23861.97 987 NA NA NA NA NA NA 1485 NA NA NA NA NA NA 7474 NA NA NA NA NA NA 4999 NA NA NA NA NA NA
1681246800.0 25.0 NA 135 309 0 72 NA NA NA 310 576 0 218 NA NA NA 1558 3822 479 346 NA NA NA 1614 3786 793 988 NA NA
1681246800.0 2500.401 NA 111 0 NA NA NA NA NA 303 0 NA NA NA NA NA 10475 177 NA NA NA NA NA 6425 492 NA NA NA NA
1681246800.0 2500.511 NA 129 0 NA NA NA NA NA 363 0 NA NA NA NA NA 3910 176 NA NA NA NA NA 4593 612 NA NA NA NA
1681246800.0 250199.0 316 NA NA NA NA NA NA 590 NA NA NA NA NA NA 2023 NA NA NA NA NA NA 1645 NA NA NA NA NA NA
1681246800.0 250199.17 321 NA NA NA NA NA NA 578 NA NA NA NA NA NA 2192 NA NA NA NA NA NA 2204 NA NA NA NA NA NA
