Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1680991200.0 1.0 73 122 187 NA NA NA 189 581 344 NA NA NA 1673 401 1220 NA NA NA 2113 537 3043 NA NA NA
1680991200.0 10001.0 NA 155 349 0 70 NA NA 603 549 0 126 NA NA 574 1830 1137 253 NA NA 1515 3181 1801 690 NA
1680991200.0 10005.0 NA 154 347 0 70 NA NA 603 553 0 133 NA NA 571 1800 1133 248 NA NA 649 3082 1550 780 NA
1680991200.0 10006.0 NA 154 344 0 71 NA NA 602 530 0 131 NA NA 630 1776 1130 247 NA NA 1005 2545 1980 1241 NA
1680991200.0 10007.0 NA 157 350 0 70 NA NA 603 535 0 134 NA NA 609 1855 1141 249 NA NA 1339 2971 1733 1156 NA
1680991200.0 10008.0 NA 155 355 0 70 NA NA 559 529 0 132 NA NA 669 1849 1145 375 NA NA 1147 3639 2133 835 NA
1680991200.0 10023.0 NA 152 344 0 69 NA NA 558 553 0 127 NA NA 641 1876 1139 441 NA NA 1015 3161 1629 1174 NA
1680991200.0 10024.2 NA 164 366 0 NA NA NA 560 560 0 NA NA NA 731 2050 1163 NA NA NA 795 2605 1704 NA NA
1680991200.0 10025.0 NA 157 358 0 71 NA NA 604 554 0 126 NA NA 636 1888 1158 333 NA NA 831 2841 1593 697 NA
1680991200.0 10026.0 NA 172 371 0 72 NA NA 601 563 0 135 NA NA 717 2285 1167 263 NA NA 1291 3213 1473 1087 NA
1680991200.0 101.0 96 NA NA NA NA NA 175 NA NA NA NA NA 776 NA NA NA NA NA 945 NA NA NA NA NA
1680991200.0 102.0 90 NA NA NA NA NA 159 NA NA NA NA NA 680 NA NA NA NA NA 818 NA NA NA NA NA
1680991200.0 10224.0 NA 314 578 0 NA NA NA 614 841 0 NA NA NA 2537 3906 1178 NA NA NA 2171 5207 1389 NA NA
1680991200.0 103.0 67 92 271 NA NA NA 162 582 419 NA NA NA 1222 362 1657 NA NA NA 1295 1455 2695 NA NA NA
1680991200.0 106.0 46 0 0 NA NA NA 102 0 0 NA NA NA 747 196 1481 NA NA NA 918 518 2603 NA NA NA
1680991200.0 10801.0 NA 261 379 0 86 191 NA 635 595 0 142 299 NA 1660 2064 1977 509 1359 NA 3671 4146 2940 1055 2341
1680991200.0 10802.0 NA 250 378 0 84 204 NA 688 551 0 149 290 NA 1848 2166 1951 775 1384 NA 2556 4621 2369 2167 1895
1680991200.0 10803.0 NA 256 376 0 95 194 NA 684 595 0 144 310 NA 1826 2117 1943 406 1386 NA 2611 5350 2657 1637 3227
1680991200.0 10804.0 NA 256 376 0 88 191 NA 664 617 0 147 279 NA 1686 2035 1947 381 1370 NA 3080 4584 3480 804 1889
1680991200.0 10805.0 NA 255 383 0 82 203 NA 692 592 0 139 296 NA 1698 2043 1939 390 1372 NA 3104 4230 2425 2373 1556
1680991200.0 10807.0 NA 261 383 0 94 205 NA 667 583 0 156 303 NA 1677 2079 1937 397 1361 NA 3128 3613 2427 750 2991
1680991200.0 10808.0 NA 255 380 0 94 205 NA 686 580 0 162 309 NA 1693 2088 1946 402 1371 NA 3252 4151 2984 686 1570
1680991200.0 10823.0 NA 256 370 0 84 153 NA 712 556 0 138 253 NA 1733 2011 1961 387 1314 NA 2859 4483 3863 826 2360
1680991200.0 10824.5 NA 267 158 0 NA NA NA 686 245 0 NA NA NA 1796 526 136 NA NA NA 3264 851 375 NA NA
1680991200.0 10824.6 NA 265 391 0 94 206 NA 672 604 0 156 303 NA 1838 2271 2009 487 1393 NA 6608 4508 3788 712 1604
1680991200.0 10824.8 NA 264 404 0 94 203 NA 714 706 0 153 308 NA 1782 2562 2009 423 1406 NA 2595 3895 4008 827 1850
1680991200.0 10825.0 NA 263 385 0 85 207 NA 689 582 0 141 291 NA 1760 2159 1969 394 1362 NA 3596 3855 3237 1117 1889
1680991200.0 10826.0 NA 284 399 0 85 208 NA 683 581 0 140 319 NA 1887 2477 1984 411 1447 NA 2609 4961 2472 1710 2730
1680991200.0 10842.0 NA 270 388 0 94 202 NA 693 591 0 155 304 NA 1806 2232 1980 406 1391 NA 3222 3830 3091 1033 1943
1680991200.0 10859.0 NA 283 402 0 95 211 NA 686 598 0 159 335 NA 1964 2794 1991 430 1441 NA 2764 4346 2878 1892 2746
1680991200.0 10871.0 NA 274 394 0 86 208 NA 674 591 0 143 295 NA 1998 2285 1984 395 1392 NA 2650 4204 2418 1128 1726
1680991200.0 110.0 63 117 272 NA NA NA 135 580 426 NA NA NA 965 399 1669 NA NA NA 1114 908 2771 NA NA NA
1680991200.0 11024.0 NA 487 755 0 207 NA NA 788 1169 0 304 NA NA 5336 5440 2010 1401 NA NA 4445 5872 3516 1630 NA
1680991200.0 11024.2 NA 503 712 0 207 NA NA 836 1144 0 317 NA NA 5488 5907 2034 1417 NA NA 4690 6067 3202 3380 NA
1680991200.0 11024.3 NA 504 737 0 207 NA NA 780 1100 0 297 NA NA 5491 5666 2020 1418 NA NA 4663 6186 3265 1930 NA
1680991200.0 11024.6 NA 482 720 0 207 NA NA 780 1171 0 314 NA NA 5285 5538 2040 1418 NA NA 4859 5945 2933 1901 NA
1680991200.0 11025.0 NA 482 691 0 201 NA NA 788 1094 0 298 NA NA 5135 5071 2029 1390 NA NA 4513 5442 3952 2128 NA
1680991200.0 111.0 77 134 268 NA NA NA 190 582 423 NA NA NA 1474 348 1668 NA NA NA 1611 629 2574 NA NA NA
1680991200.0 112.0 83 128 275 NA NA NA 209 536 430 NA NA NA 2140 444 1727 NA NA NA 1531 1000 3291 NA NA NA
1680991200.0 11224.0 NA 265 392 0 NA NA NA 681 592 0 NA NA NA 1646 2274 1987 NA NA NA 2135 3521 2499 NA NA
1680991200.0 11224.6 NA 266 391 0 NA NA NA 628 576 0 NA NA NA 1679 2292 1992 NA NA NA 3269 4220 2444 NA NA
1680991200.0 11624.0 71 166 365 0 75 NA 133 595 572 0 126 NA 3003 807 2153 1245 282 NA 1697 988 4071 1776 1431 NA
1680991200.0 11625.0 67 161 354 0 70 NA 126 603 554 0 133 NA 1836 767 1965 1279 365 NA 1679 994 4070 1681 606 NA
1680991200.0 11626.0 75 170 370 0 71 NA 136 606 553 0 127 NA 4994 818 2374 1247 555 NA 3132 1255 4663 1652 1059 NA
1680991200.0 11642.0 65 160 355 0 70 NA 126 605 543 0 132 NA 1186 698 1944 1269 267 NA 1206 1301 3819 2189 614 NA
1680991200.0 120.0 62 145 274 NA NA NA 135 582 434 NA NA NA 977 399 1666 NA NA NA 1119 656 3550 NA NA NA
1680991200.0 12024.0 72 168 366 0 NA NA 129 558 543 0 NA NA 3055 853 2139 1251 NA NA 1609 1023 3574 1825 NA NA
1680991200.0 122.0 47 0 0 NA NA NA 106 0 0 NA NA NA 781 189 1466 NA NA NA 994 334 2938 NA NA NA
1680991200.0 123.1 299 NA NA NA NA NA 689 NA NA NA NA NA 1001 NA NA NA NA NA 1182 NA NA NA NA NA
1680991200.0 123.2 314 NA NA NA NA NA 720 NA NA NA NA NA 1078 NA NA NA NA NA 1251 NA NA NA NA NA
1680991200.0 123.3 223 NA NA NA NA NA 638 NA NA NA NA NA 846 NA NA NA NA NA 1035 NA NA NA NA NA
1680991200.0 124.1 273 NA NA NA NA NA 651 NA NA NA NA NA 892 NA NA NA NA NA 1084 NA NA NA NA NA
1680991200.0 124.2 314 NA NA NA NA NA 641 NA NA NA NA NA 956 NA NA NA NA NA 1082 NA NA NA NA NA
1680991200.0 124.4 275 NA NA NA NA NA 683 NA NA NA NA NA 903 NA NA NA NA NA 1256 NA NA NA NA NA
1680991200.0 124.5 285 NA NA NA NA NA 677 NA NA NA NA NA 891 NA NA NA NA NA 1150 NA NA NA NA NA
1680991200.0 124.6 223 NA NA NA NA NA 681 NA NA NA NA NA 879 NA NA NA NA NA 1164 NA NA NA NA NA
1680991200.0 125.0 91 104 277 NA NA NA 214 581 429 NA NA NA 2200 451 1749 NA NA NA 1843 1138 3140 NA NA NA
1680991200.0 126.0 65 135 273 NA NA NA 137 582 434 NA NA NA 1507 410 1680 NA NA NA 1152 863 2584 NA NA NA
1680991200.0 127.0 63 98 268 NA NA NA 135 582 410 NA NA NA 1206 422 1671 NA NA NA 1227 916 3708 NA NA NA
1680991200.0 128.0 62 118 261 NA NA NA 136 582 407 NA NA NA 498 418 1629 NA NA NA 1028 807 2777 NA NA NA
