Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1681333200.0 107.0 86 119 272 290 266 510 1666 350 1457 1731 727 1906
1681333200.0 112.0 82 118 266 282 265 514 1420 344 1410 1799 961 3133
1681333200.0 113.0 97 120 271 293 272 515 1496 348 1448 1262 555 3226
1681333200.0 114.0 92 121 272 299 266 500 1626 357 1442 1129 681 1912
1681333200.0 116.0 93 129 274 291 267 514 1742 363 1485 940 1044 3182
1681333200.0 117.0 84 122 272 284 271 507 1882 358 1523 980 1007 3029
1681333200.0 120.0 67 115 258 234 259 502 562 328 1365 1228 840 1863
1681333200.0 132.0 84 119 276 289 269 522 1928 359 1543 1855 774 3228
1681333200.0 144.6 NA 279 NA NA 513 NA NA 2573 NA NA 5024 NA
1681333200.0 21061.97 909 NA NA 1505 NA NA 8556 NA NA 5825 NA NA
1681333200.0 23861.97 931 NA NA 1511 NA NA 8246 NA NA 5414 NA NA
1681333200.0 2500.33 NA 160 0 NA 357 0 NA 11089 161 NA 6389 423
1681333200.0 2500.332 NA 171 0 NA 372 0 NA 14262 168 NA 7047 616
1681333200.0 2500.401 NA 112 0 NA 312 0 NA 11607 162 NA 6769 313
1681333200.0 4001.0 NA 175 349 NA 369 607 NA 643 2088 NA 1494 3148
1681333200.0 4008.0 72 123 278 246 280 540 805 283 1398 1476 1185 2031
