Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1689022800.0 129.0 114 167 324 223 273 493 531 313 1356 1199 890 2279
1689022800.0 144.6 NA 347 NA NA 511 NA NA 2514 NA NA 4590 NA
1689022800.0 21061.97 1039 NA NA 1479 NA NA 7671 NA NA 5490 NA NA
1689022800.0 23861.97 973 NA NA 1543 NA NA 7555 NA NA 5308 NA NA
1689022800.0 523.0 61 93 0 105 169 0 2191 214 151 2714 460 992
