Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1689022800.0 10804.31 NA 269 489 NA 368 784 NA 1383 1521 NA 1092 5610
1689022800.0 21061.97 910 NA NA 1337 NA NA 6991 NA NA 4672 NA NA
1689022800.0 2500.33 NA 173 0 NA 326 0 NA 16666 257 NA 8204 432
1689022800.0 2500.332 NA 183 0 NA 350 0 NA 21439 276 NA 9498 653
1689022800.0 537.0 48 0 NA 162 0 NA 4905 239 NA 2991 372 NA
1689022800.0 555.0 41 71 0 104 150 0 5448 403 272 3424 515 538
