Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1689195600.0 1.0 153 160 270 NA 261 228 382 NA 1270 300 855 NA 1434 478 1950 NA
1689195600.0 10804.31 NA 236 521 NA NA 353 803 NA NA 1378 1464 NA NA 2013 4018 NA
1689195600.0 10805.31 NA 251 499 NA NA 354 809 NA NA 1497 1587 NA NA 2708 6097 NA
1689195600.0 122.0 116 0 0 NA 194 0 0 NA 537 107 1113 NA 1363 320 2261 NA
1689195600.0 126.0 123 164 341 NA 221 231 476 NA 986 288 1283 NA 1172 615 2276 NA
1689195600.0 129.0 121 162 328 NA 209 231 464 NA 508 285 1299 NA 1433 436 2273 NA
1689195600.0 1301.0 144 196 294 NA 218 268 415 NA 1175 312 869 NA 1663 591 1943 NA
1689195600.0 134.0 NA 356 75 0 NA 502 129 0 NA 2535 126 65 NA 2622 744 295
1689195600.0 136.852 NA 172 488 0 NA 235 897 0 NA 336 10324 252 NA 1185 5259 410
1689195600.0 139.001 NA 179 498 0 NA 254 846 0 NA 264 2139 283 NA 378 2720 581
1689195600.0 144.6 NA 349 NA NA NA 497 NA NA NA 2364 NA NA NA 3453 NA NA
1689195600.0 21061.97 927 NA NA NA 1393 NA NA NA 7321 NA NA NA 4940 NA NA NA
1689195600.0 2500.31 NA 218 0 NA NA 321 0 NA NA 19392 129 NA NA 10380 334 NA
1689195600.0 2500.332 NA 244 0 NA NA 352 0 NA NA 13625 138 NA NA 6171 647 NA
1689195600.0 2500.401 NA 205 0 NA NA 315 0 NA NA 19110 129 NA NA 10043 424 NA
1689195600.0 250408.18 1010 0 194 NA 1514 0 268 NA 1158 239 566 NA 1705 546 902 NA
1689195600.0 250409.0 599 0 198 NA 870 0 265 NA 1144 219 631 NA 1482 444 892 NA
1689195600.0 4008.0 116 0 0 NA 195 0 0 NA 538 108 1105 NA 1073 415 2098 NA
1689195600.0 537.0 61 0 NA NA 163 0 NA NA 3568 133 NA NA 7697 255 NA NA
