Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1689195600.0 106.0 110 0 0 NA 218 0 0 NA 566 115 1167 NA 823 301 2038 NA
1689195600.0 10804.31 NA 277 520 NA NA 384 843 NA NA 1433 1554 NA NA 1852 4578 NA
1689195600.0 110.0 127 171 345 NA 241 259 486 NA 612 305 1310 NA 1238 965 1835 NA
1689195600.0 128.0 123 171 342 NA 219 264 498 NA 529 308 1298 NA 1453 879 1883 NA
1689195600.0 144.6 NA 358 NA NA NA 503 NA NA NA 2509 NA NA NA 3500 NA NA
1689195600.0 21061.97 1049 NA NA NA 1614 NA NA NA 7463 NA NA NA 4653 NA NA NA
1689195600.0 23861.97 1010 NA NA NA 1468 NA NA NA 7318 NA NA NA 4379 NA NA NA
1689195600.0 2500.33 NA 235 0 NA NA 349 0 NA NA 10529 130 NA NA 5459 306 NA
1689195600.0 4.28 NA 123 362 0 NA 208 497 0 NA 230 2789 1372 NA 1107 3581 1534
1689195600.0 4001.0 NA 244 417 NA NA 364 605 NA NA 526 1841 NA NA 891 1977 NA
1689195600.0 4007.0 121 0 0 NA 221 0 0 NA 559 121 1203 NA 886 540 2386 NA
1689195600.0 537.0 102 0 NA NA 188 0 NA NA 3626 137 NA NA 6240 522 NA NA
