Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1680991200.0 10024.5 NA 168 149 0 NA 603 232 0 NA 657 461 131 NA 2034 1831 442
1680991200.0 114.0 87 146 272 NA 222 584 427 NA 2212 456 1722 NA 1347 512 2859 NA
1680991200.0 120.0 61 101 259 NA 145 586 407 NA 845 414 1609 NA 1018 1149 2836 NA
1680991200.0 126.0 64 153 267 NA 149 585 434 NA 1430 407 1658 NA 1459 545 2723 NA
1680991200.0 130.0 64 107 266 NA 138 584 411 NA 1069 414 1635 NA 1463 1207 2835 NA
1680991200.0 131.0 63 112 270 NA 135 584 413 NA 1246 418 1667 NA 1021 606 2921 NA
1680991200.0 140.54 NA 253 0 NA NA 411 0 NA NA 1546 425 NA NA 2825 970 NA
1680991200.0 144.6 NA 289 NA NA NA 446 NA NA NA 2583 NA NA NA 3978 NA NA
1680991200.0 4001.0 NA 178 373 NA NA 597 548 NA NA 841 2471 NA NA 1269 3026 NA
1680991200.0 4007.0 59 204 280 NA 136 599 439 NA 1171 347 1656 NA 1130 1515 2771 NA
