Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1680386400.0 1.0 87 81 196 NA NA NA NA NA 185 366 315 NA NA NA NA NA 1684 467 928 NA NA NA NA NA 1829 1298 1764 NA NA NA NA NA
1680386400.0 10.0 NA 114 460 0 NA NA NA NA NA 371 562 0 NA NA NA NA NA 2357 3282 520 NA NA NA NA NA 1893 2853 604 NA NA NA NA
1680386400.0 1000.0 NA 392 151 0 44 NA NA NA NA 495 254 0 90 NA NA NA NA 2706 1323 610 277 NA NA NA NA 4910 2748 682 389 NA NA NA
1680386400.0 10001.0 NA 221 664 83 0 NA NA NA NA 481 816 134 0 NA NA NA NA 1349 2212 407 1809 NA NA NA NA 1917 4549 900 2111 NA NA NA
1680386400.0 10002.0 NA 189 659 83 0 NA NA NA NA 484 827 134 0 NA NA NA NA 1327 2162 380 1699 NA NA NA NA 2399 4160 666 2388 NA NA NA
1680386400.0 10003.0 NA 224 668 84 0 NA NA NA NA 482 824 135 0 NA NA NA NA 1392 2263 410 1814 NA NA NA NA 1856 3938 866 2308 NA NA NA
1680386400.0 10004.0 NA 217 659 84 0 NA NA NA NA 486 805 133 0 NA NA NA NA 1326 2199 393 1772 NA NA NA NA 1980 3101 1269 2026 NA NA NA
1680386400.0 10005.0 NA 217 659 83 0 NA NA NA NA 480 824 135 0 NA NA NA NA 1349 2251 406 1799 NA NA NA NA 2057 3964 1018 2272 NA NA NA
1680386400.0 10006.0 NA 217 654 84 0 NA NA NA NA 480 825 133 0 NA NA NA NA 1336 2182 391 1827 NA NA NA NA 2199 3378 865 2549 NA NA NA
1680386400.0 10007.0 NA 215 661 94 0 NA NA NA NA 482 819 146 0 NA NA NA NA 1371 2246 424 1823 NA NA NA NA 1983 3104 1525 2838 NA NA NA
