Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1689022800.0 103.0 109 0 0 NA 221 0 0 NA 605 120 1311 NA 1347 296 2162 NA
1689022800.0 106.0 113 0 0 NA 220 0 0 NA 603 128 1273 NA 1133 503 1945 NA
1689022800.0 122.0 109 0 0 NA 222 0 0 NA 619 116 1300 NA 1560 211 2131 NA
1689022800.0 134.0 NA 363 77 0 NA 522 155 0 NA 2924 147 85 NA 3078 562 398
1689022800.0 139.005 NA 145 126 NA NA 281 280 NA NA 13165 8626 NA NA 7022 3436 NA
1689022800.0 144.6 NA 348 NA NA NA 516 NA NA NA 2698 NA NA NA 3703 NA NA
1689022800.0 2500.01 NA 233 0 NA NA 368 0 NA NA 10811 142 NA NA 6219 218 NA
1689022800.0 2500.012 NA 246 0 NA NA 367 0 NA NA 14908 173 NA NA 7167 518 NA
1689022800.0 2500.31 NA 224 0 NA NA 409 0 NA NA 5429 168 NA NA 5304 1049 NA
1689022800.0 25061.97 1042 NA NA NA 1503 NA NA NA 7989 NA NA NA 5509 NA NA NA
1689022800.0 4000.0 NA 194 380 NA NA 314 569 NA NA 1562 3804 NA NA 1153 3457 NA
1689022800.0 4002.0 NA 190 361 NA NA 309 545 NA NA 1357 2465 NA NA 965 2992 NA
1689022800.0 4003.0 NA 196 360 NA NA 300 533 NA NA 1412 2759 NA NA 1265 3238 NA
1689022800.0 4008.0 109 0 0 NA 224 0 0 NA 612 129 1321 NA 1479 536 2388 NA
1689022800.0 537.0 101 0 NA NA 193 0 NA NA 3725 146 NA NA 6032 399 NA NA
