Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1689109200.0 103.0 91 157 327 NA 209 224 458 NA 651 226 1284 NA 1493 1310 2160 NA
1689109200.0 129.0 121 162 327 NA 208 231 466 NA 532 306 1329 NA 1089 1164 2490 NA
1689109200.0 134.0 NA 356 74 0 NA 485 128 0 NA 2760 147 77 NA 3819 573 471
1689109200.0 144.6 NA 351 NA NA NA 485 NA NA NA 2473 NA NA NA 4655 NA NA
1689109200.0 21061.97 916 NA NA NA 1395 NA NA NA 7714 NA NA NA 4715 NA NA NA
1689109200.0 2500.332 NA 245 0 NA NA 338 0 NA NA 14236 154 NA NA 7521 388 NA
1689109200.0 4007.0 119 0 0 NA 194 0 0 NA 542 114 1151 NA 823 365 2251 NA
1689109200.0 537.0 99 0 NA NA 165 0 NA NA 3872 151 NA NA 7878 351 NA NA
