Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1680991200.0 10003.0 NA 213 455 0 86 91 NA 360 786 0 205 229 NA 1637 1505 454 380 477 NA 1644 2462 731 1510 953
1680991200.0 10007.0 NA 215 449 0 114 89 NA 357 800 0 284 221 NA 1644 1484 449 386 459 NA 1167 3113 692 1660 888
1680991200.0 10025.0 NA 219 456 0 87 91 NA 362 853 0 206 229 NA 1636 1525 464 372 462 NA 942 3435 715 1311 625
1680991200.0 10224.15 NA 377 683 0 118 NA NA 623 1162 0 268 NA NA 3229 3191 505 588 NA NA 2797 3374 1160 855 NA
1680991200.0 108.0 86 119 274 NA NA NA 268 242 461 NA NA NA 2002 373 1437 NA NA NA 2159 1613 2666 NA NA NA
1680991200.0 10804.0 NA 205 440 0 87 93 NA 344 802 0 207 230 NA 1609 1444 451 375 475 NA 1669 1767 694 1357 786
1680991200.0 10826.0 NA 221 458 0 91 95 NA 369 791 0 210 229 NA 1664 1747 481 367 486 NA 1478 3050 716 598 646
1680991200.0 10859.0 NA 223 465 0 91 96 NA 386 819 0 211 240 NA 1679 2378 486 378 483 NA 1265 3306 736 682 612
1680991200.0 110.0 69 114 260 NA NA NA 198 234 476 NA NA NA 642 341 1324 NA NA NA 1555 598 2105 NA NA NA
1680991200.0 111.0 86 115 270 NA NA NA 260 235 492 NA NA NA 1154 306 1344 NA NA NA 1294 470 2495 NA NA NA
1680991200.0 11224.6 NA 179 430 0 NA NA NA 326 744 0 NA NA NA 455 1619 484 NA NA NA 1630 2764 699 NA NA
1680991200.0 114.0 93 117 266 NA NA NA 263 236 472 NA NA NA 1694 368 1401 NA NA NA 1443 700 2301 NA NA NA
1680991200.0 116.0 92 120 268 NA NA NA 264 234 476 NA NA NA 1905 369 1446 NA NA NA 1986 768 2418 NA NA NA
1680991200.0 11607.0 NA 282 584 0 127 NA NA 483 935 0 257 NA NA 952 2336 615 405 NA NA 1409 3471 1207 538 NA
1680991200.0 117.0 84 119 276 NA NA NA 260 234 483 NA NA NA 2051 384 1438 NA NA NA 2085 1316 1996 NA NA NA
1680991200.0 119.0 83 115 267 NA NA NA 258 235 492 NA NA NA 1360 351 1379 NA NA NA 1656 490 2049 NA NA NA
1680991200.0 125.0 90 120 270 NA NA NA 262 244 462 NA NA NA 1860 371 1384 NA NA NA 1762 1657 2309 NA NA NA
1680991200.0 127.0 70 114 262 NA NA NA 208 233 459 NA NA NA 807 339 1305 NA NA NA 1238 543 1951 NA NA NA
1680991200.0 130.0 69 112 257 NA NA NA 208 229 460 NA NA NA 586 347 1317 NA NA NA 969 1102 2579 NA NA NA
1680991200.0 131.0 70 113 267 NA NA NA 199 231 476 NA NA NA 871 344 1325 NA NA NA 1420 1299 2503 NA NA NA
1680991200.0 132.0 89 115 275 NA NA NA 264 240 484 NA NA NA 2012 375 1459 NA NA NA 2150 730 2496 NA NA NA
1680991200.0 136.848 NA 111 427 0 NA NA NA 248 862 0 NA NA NA 521 14193 276 NA NA NA 580 6008 372 NA NA
1680991200.0 139.005 NA 94 69 NA NA NA NA 253 251 NA NA NA NA 19545 8658 NA NA NA NA 41692 5605 NA NA NA
1680991200.0 140.007 NA 233 573 0 NA NA NA 440 1092 0 NA NA NA 959 3565 650 NA NA NA 1257 4802 816 NA NA
1680991200.0 140.008 NA 215 562 0 NA NA NA 416 1076 0 NA NA NA 848 3341 656 NA NA NA 1189 4601 881 NA NA
1680991200.0 140.104 NA 281 638 109 NA NA NA 491 1162 240 NA NA NA 1685 7016 719 NA NA NA 1718 4231 713 NA NA
1680991200.0 140.106 NA 293 650 125 NA NA NA 509 1224 279 NA NA NA 2437 11527 889 NA NA NA 1612 5494 770 NA NA
1680991200.0 140.113 NA 270 648 108 NA NA NA 496 1166 254 NA NA NA 1946 7556 759 NA NA NA 1603 4084 918 NA NA
1680991200.0 144.6 NA 280 NA NA NA NA NA 484 NA NA NA NA NA 2547 NA NA NA NA NA 4092 NA NA NA NA
1680991200.0 149.0 74 188 438 0 NA NA 207 313 774 0 NA NA 1026 941 1440 456 NA NA 1482 1534 2838 632 NA NA
1680991200.0 21061.97 880 NA NA NA NA NA 1427 NA NA NA NA NA 7841 NA NA NA NA NA 5929 NA NA NA NA NA
1680991200.0 2500.312 NA 188 0 NA NA NA NA 467 0 NA NA NA NA 12158 174 NA NA NA NA 7624 663 NA NA NA
1680991200.0 2500.331 NA 168 0 NA NA NA NA 347 0 NA NA NA NA 7336 171 NA NA NA NA 5421 596 NA NA NA
1680991200.0 250199.18 393 NA NA NA NA NA 645 NA NA NA NA NA 3284 NA NA NA NA NA 3262 NA NA NA NA NA
1680991200.0 250200.17 NA 431 538 0 NA NA NA 694 912 0 NA NA NA 7512 2328 492 NA NA NA 3677 2938 810 NA NA
1680991200.0 250202.172 NA 442 554 0 NA NA NA 729 891 0 NA NA NA 7779 2591 501 NA NA NA 3512 3240 691 NA NA
1680991200.0 25402.0 631 0 126 NA NA NA 1015 0 263 NA NA NA 3244 280 598 NA NA NA 2151 729 795 NA NA NA
1680991200.0 25406.18 1040 0 130 NA NA NA 1547 0 267 NA NA NA 2933 305 570 NA NA NA 3195 805 804 NA NA NA
1680991200.0 4.28 NA 69 280 0 NA NA NA 184 475 0 NA NA NA 255 2969 1511 NA NA NA 874 5020 1878 NA NA
1680991200.0 4008.0 72 124 283 NA NA NA 217 255 511 NA NA NA 836 307 1383 NA NA NA 1501 803 2459 NA NA NA
1680991200.0 500200.1 97 198 224 NA NA NA 245 360 436 NA NA NA 1773 527 1661 NA NA NA 1557 1133 2282 NA NA NA
