Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1681333200.0 107.0 91 118 269 NA 263 240 474 NA 1855 379 1518 NA 1547 1189 1985 NA
1681333200.0 110.0 69 106 261 NA 197 230 469 NA 663 357 1487 NA 1193 1593 3445 NA
1681333200.0 111.0 87 117 267 NA 259 239 480 NA 1243 322 1472 NA 1914 805 2437 NA
1681333200.0 112.0 90 112 261 NA 270 236 474 NA 1593 367 1465 NA 2490 803 1697 NA
1681333200.0 113.0 89 116 264 NA 263 232 477 NA 1680 376 1512 NA 2257 889 1749 NA
1681333200.0 114.0 90 114 273 NA 267 235 475 NA 1800 389 1564 NA 1786 1013 3371 NA
1681333200.0 115.0 86 120 271 NA 258 238 493 NA 2022 389 1573 NA 1835 1469 3567 NA
1681333200.0 116.0 93 121 279 NA 260 243 484 NA 2046 389 1600 NA 1740 1101 2327 NA
1681333200.0 119.0 84 115 268 NA 261 230 467 NA 1442 372 1537 NA 2089 1448 3488 NA
1681333200.0 125.0 89 116 272 NA 274 241 477 NA 1962 388 1555 NA 2100 1029 3198 NA
1681333200.0 126.0 68 110 262 NA 220 237 470 NA 1147 354 1500 NA 2429 803 3354 NA
1681333200.0 128.0 68 112 257 NA 195 225 469 NA 582 352 1421 NA 1473 1205 1662 NA
1681333200.0 129.0 70 113 259 NA 200 233 469 NA 587 356 1419 NA 1261 879 2109 NA
1681333200.0 130.0 68 105 259 NA 215 230 466 NA 624 362 1483 NA 1315 1173 2931 NA
1681333200.0 131.0 67 108 260 NA 200 227 473 NA 918 365 1478 NA 1971 1398 3530 NA
1681333200.0 132.0 86 119 274 NA 259 242 469 NA 2189 397 1616 NA 1554 984 3672 NA
1681333200.0 133.0 97 124 280 NA 276 238 464 NA 2820 395 1764 NA 2406 874 3151 NA
1681333200.0 134.0 NA 288 39 0 NA 496 128 0 NA 2684 140 86 NA 2295 718 860
1681333200.0 139.005 NA 93 68 NA NA 255 251 NA NA 19511 8491 NA NA 39820 4714 NA
1681333200.0 144.6 NA 282 NA NA NA 489 NA NA NA 2635 NA NA NA 4248 NA NA
1681333200.0 21061.97 867 NA NA NA 1460 NA NA NA 7851 NA NA NA 6214 NA NA NA
1681333200.0 2500.31 NA 147 0 NA NA 317 0 NA NA 19677 160 NA NA 9601 930 NA
1681333200.0 2500.332 NA 169 0 NA NA 342 0 NA NA 13920 166 NA NA 7207 819 NA
1681333200.0 2500.401 NA 114 0 NA NA 287 0 NA NA 10860 153 NA NA 7049 611 NA
1681333200.0 250199.18 403 NA NA NA 675 NA NA NA 3088 NA NA NA 2679 NA NA NA
