Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1681246800.0 139.005 NA 105 83 NA 299 298 NA 23471 10574 NA 45672 5470
1681246800.0 144.6 NA 296 NA NA 536 NA NA 4548 NA NA 5642 NA
1681246800.0 21061.97 886 NA NA 1558 NA NA 11809 NA NA 7094 NA NA
1681246800.0 23861.97 933 NA NA 1515 NA NA 10321 NA NA 6318 NA NA
1681246800.0 2500.31 NA 159 0 NA 375 0 NA 22975 213 NA 12728 335
1681246800.0 2500.312 NA 213 0 NA 539 0 NA 22547 204 NA 14928 435
1681246800.0 2500.331 NA 188 0 NA 428 0 NA 21978 227 NA 12376 543
1681246800.0 2500.501 NA 116 0 NA 321 0 NA 7829 232 NA 7017 493
1681246800.0 4000.0 NA 157 314 NA 340 583 NA 1729 4333 NA 1996 3254
1681246800.0 4001.0 NA 191 359 NA 384 641 NA 787 2663 NA 1791 3306
1681246800.0 4002.0 NA 157 300 NA 327 574 NA 1475 2988 NA 1932 2988
1681246800.0 4003.0 NA 158 305 NA 324 558 NA 1491 3213 NA 1486 3463
