Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1680386400.0 1.0 51 73 126 NA NA NA NA NA 96 146 183 NA NA NA NA NA 1378 243 542 NA NA NA NA NA 1439 269 581 NA NA NA NA NA
1680386400.0 10.0 NA 79 193 0 NA NA NA NA NA 147 257 0 NA NA NA NA NA 1579 1500 393 NA NA NA NA NA 1613 1562 415 NA NA NA NA
1680386400.0 1000.0 NA 216 126 0 39 NA NA NA NA 287 182 0 78 NA NA NA NA 1891 413 366 104 NA NA NA NA 1954 459 402 126 NA NA NA
1680386400.0 1001.0 NA 190 169 0 0 0 0 0 NA 249 218 0 0 0 0 0 NA 1311 280 5 40 484 26 488 NA 1389 309 12 55 491 36 504
1680386400.0 1002.0 NA 210 59 NA NA NA NA NA NA 274 99 NA NA NA NA NA NA 1622 119 NA NA NA NA NA NA 1681 130 NA NA NA NA NA
1680386400.0 10021.0 NA 87 127 0 NA NA NA NA NA 176 179 0 NA NA NA NA NA 436 466 165 NA NA NA NA NA 518 548 183 NA NA NA NA
1680386400.0 10023.0 NA 86 130 0 NA NA NA NA NA 176 181 0 NA NA NA NA NA 385 332 172 NA NA NA NA NA 465 405 196 NA NA NA NA
1680386400.0 10024.0 NA 92 132 0 NA NA NA NA NA 176 185 0 NA NA NA NA NA 450 447 193 NA NA NA NA NA 551 533 218 NA NA NA NA
1680386400.0 10025.0 NA 87 130 0 NA NA NA NA NA 176 180 0 NA NA NA NA NA 404 350 176 NA NA NA NA NA 540 421 199 NA NA NA NA
1680386400.0 10026.0 NA 91 131 0 NA NA NA NA NA 176 185 0 NA NA NA NA NA 455 511 195 NA NA NA NA NA 548 596 213 NA NA NA NA
1680386400.0 1003.0 NA 175 0 NA NA NA NA NA NA 246 0 NA NA NA NA NA NA 2067 247 NA NA NA NA NA NA 2124 284 NA NA NA NA NA
1680386400.0 1004.0 NA 177 132 0 0 0 0 NA NA 237 179 0 0 0 0 NA NA 363 159 5 40 492 507 NA NA 424 179 16 47 501 530 NA
1680386400.0 101.0 81 NA NA NA NA NA NA NA 140 NA NA NA NA NA NA NA 733 NA NA NA NA NA NA NA 748 NA NA NA NA NA NA NA
1680386400.0 102.0 82 NA NA NA NA NA NA NA 139 NA NA NA NA NA NA NA 544 NA NA NA NA NA NA NA 560 NA NA NA NA NA NA NA
1680386400.0 10224.0 NA 124 199 0 NA NA NA NA NA 193 273 0 NA NA NA NA NA 1934 1681 206 NA NA NA NA NA 2854 2392 238 NA NA NA NA
1680386400.0 10225.0 NA 124 196 0 NA NA NA NA NA 192 274 0 NA NA NA NA NA 2044 1650 210 NA NA NA NA NA 3363 2526 268 NA NA NA NA
1680386400.0 103.0 47 75 186 NA NA NA NA NA 90 148 253 NA NA NA NA NA 469 154 263 NA NA NA NA NA 483 178 306 NA NA NA NA NA
1680386400.0 105.0 52 75 19 NA NA NA NA NA 96 148 53 NA NA NA NA NA 1398 260 2 NA NA NA NA NA 1469 290 7 NA NA NA NA NA
1680386400.0 106.0 37 0 0 NA NA NA NA NA 75 0 0 NA NA NA NA NA 258 57 105 NA NA NA NA NA 265 63 112 NA NA NA NA NA
1680386400.0 107.0 51 76 187 NA NA NA NA NA 97 148 254 NA NA NA NA NA 2516 273 338 NA NA NA NA NA 2557 331 362 NA NA NA NA NA
1680386400.0 108.0 55 77 191 NA NA NA NA NA 99 148 253 NA NA NA NA NA 3344 277 415 NA NA NA NA NA 3377 302 451 NA NA NA NA NA
1680386400.0 109.0 55 88 189 NA NA NA NA NA 99 148 254 NA NA NA NA NA 3922 289 441 NA NA NA NA NA 4036 325 480 NA NA NA NA NA
1680386400.0 11.0 NA 76 202 0 60 NA NA NA NA 146 265 0 90 NA NA NA NA 1244 626 406 28 NA NA NA NA 1268 660 442 39 NA NA NA
1680386400.0 110.0 46 76 186 NA NA NA NA NA 87 148 253 NA NA NA NA NA 380 249 287 NA NA NA NA NA 396 271 324 NA NA NA NA NA
1680386400.0 1102.0 NA 80 199 111 67 NA NA NA NA 146 262 170 112 NA NA NA NA 1628 1989 1609 119 NA NA NA NA 1678 2110 1737 127 NA NA NA
1680386400.0 111.0 52 76 187 NA NA NA NA NA 96 148 254 NA NA NA NA NA 1544 209 318 NA NA NA NA NA 1571 229 362 NA NA NA NA NA
1680386400.0 112.0 53 78 187 NA NA NA NA NA 98 148 254 NA NA NA NA NA 2564 272 342 NA NA NA NA NA 2591 297 376 NA NA NA NA NA
1680386400.0 113.0 53 81 188 NA NA NA NA NA 98 148 254 NA NA NA NA NA 2593 269 336 NA NA NA NA NA 2620 295 374 NA NA NA NA NA
1680386400.0 114.0 53 77 187 NA NA NA NA NA 97 148 254 NA NA NA NA NA 2350 271 340 NA NA NA NA NA 2384 296 375 NA NA NA NA NA
