Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1681246800.0 107.0 84 120 273 293 271 508 1774 385 1613 1747 1031 3342
1681246800.0 111.0 86 117 271 283 260 518 1178 333 1561 1540 1083 2265
1681246800.0 112.0 79 118 265 277 266 507 1544 380 1560 2093 1244 2408
1681246800.0 113.0 93 120 268 292 265 501 1672 398 1612 1914 1138 3511
1681246800.0 114.0 91 121 273 291 270 498 1780 389 1603 1593 859 2512
1681246800.0 115.0 81 123 278 285 271 508 1951 392 1640 1626 1043 3253
1681246800.0 117.0 88 121 276 288 268 520 2124 391 1680 2371 1065 3492
1681246800.0 118.0 90 124 280 294 266 515 2539 417 1723 1708 1564 3631
1681246800.0 120.0 68 115 260 235 262 500 611 373 1521 1317 1401 3339
1681246800.0 121.0 92 124 280 295 271 504 2771 427 1765 1642 1448 2498
1681246800.0 125.0 94 120 272 295 266 501 1838 387 1606 2465 1075 2772
1681246800.0 131.0 70 114 265 246 262 500 915 365 1565 2443 1000 3723
1681246800.0 144.6 NA 279 NA NA 528 NA NA 2801 NA NA 4074 NA
1681246800.0 21061.97 921 NA NA 1472 NA NA 8125 NA NA 5773 NA NA
1681246800.0 23861.97 960 NA NA 1573 NA NA 7913 NA NA 6640 NA NA
1681246800.0 2500.31 NA 148 0 NA 344 0 NA 20247 174 NA 10806 412
1681246800.0 2500.33 NA 160 0 NA 360 0 NA 10688 173 NA 6736 586
1681246800.0 2500.332 NA 170 0 NA 362 0 NA 13671 173 NA 6758 508
1681246800.0 250200.1 93 318 245 284 540 501 1834 741 1900 2005 1459 2075
1681246800.0 3.0 82 118 190 283 264 418 3921 349 1383 2796 760 1511
1681246800.0 4006.0 67 173 339 223 345 591 816 671 2065 1528 1018 2633
1681246800.0 500200.1 95 194 225 282 400 441 1777 545 1866 1601 1356 2010
