Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1689152400.0 107.0 138 171 343 285 275 506 1654 331 1484 1853 652 2532
1689152400.0 110.0 121 171 343 234 271 502 606 319 1329 1085 1493 1978
1689152400.0 112.0 130 168 336 279 272 498 1371 325 1379 1785 804 2033
1689152400.0 120.0 119 168 298 242 269 514 551 313 1372 1302 1108 2485
1689152400.0 126.0 125 164 342 247 267 506 991 308 1360 2592 532 2160
1689152400.0 127.0 120 170 343 225 266 493 739 309 1333 1196 501 2001
1689152400.0 128.0 119 170 336 224 263 497 533 317 1371 1406 1326 2161
1689152400.0 129.0 123 162 296 226 271 502 522 316 1366 841 1240 2502
1689152400.0 144.6 NA 353 NA NA 521 NA NA 2521 NA NA 4200 NA
1689152400.0 21061.97 935 NA NA 1503 NA NA 7652 NA NA 5548 NA NA
1689152400.0 23861.97 990 NA NA 1647 NA NA 7369 NA NA 4926 NA NA
1689152400.0 2500.33 NA 228 0 NA 364 0 NA 10828 137 NA 6772 230
1689152400.0 2500.332 NA 241 0 NA 371 0 NA 13851 152 NA 6730 580
1689152400.0 4001.0 NA 246 399 NA 366 609 NA 621 2016 NA 1144 3235
1689152400.0 4007.0 110 0 0 222 0 0 566 117 1184 1139 430 2144
