Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1681246800.0 10008.0 NA 272 521 0 161 138 NA NA 420 814 0 285 239 NA NA 1041 1260 353 252 328 NA NA 453 1263 385 282 355 NA
1681246800.0 1001.2 NA 703 213 0 0 0 0 NA 943 354 0 0 0 0 NA 8129 641 81 84 90 109 NA 4255 456 98 130 106 124
1681246800.0 10023.0 NA 263 563 0 133 135 NA NA 409 794 0 213 238 NA NA 1036 1180 337 238 315 NA NA 462 1145 354 270 337 NA
1681246800.0 10024.3 NA 286 307 0 NA NA NA NA 409 494 0 NA NA NA NA 1081 627 319 NA NA NA NA 498 1465 389 NA NA NA
1681246800.0 10024.5 NA 279 141 0 NA NA NA NA 409 294 0 NA NA NA NA 1151 406 152 NA NA NA NA 748 470 172 NA NA NA
1681246800.0 10026.0 NA 284 548 0 137 141 NA NA 426 841 0 225 249 NA NA 1106 1524 384 300 343 NA NA 734 1318 415 423 358 NA
1681246800.0 1005.0 NA 204 138 0 NA NA NA NA 364 267 0 NA NA NA NA 360 161 67 NA NA NA NA 380 178 85 NA NA NA
1681246800.0 101.0 150 NA NA NA NA NA NA 321 NA NA NA NA NA NA 571 NA NA NA NA NA NA 466 NA NA NA NA NA NA
1681246800.0 1010.0 NA 67 87 0 NA NA NA NA 164 172 0 NA NA NA NA 128 146 130 NA NA NA NA 468 168 144 NA NA NA
1681246800.0 102.0 149 NA NA NA NA NA NA 308 NA NA NA NA NA NA 538 NA NA NA NA NA NA 465 NA NA NA NA NA NA
