Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1680991200.0 109.0 89 119 278 NA 266 240 480 NA 2281 407 1536 NA 1778 897 2105 NA
1680991200.0 110.0 69 108 269 NA 197 235 472 NA 641 360 1403 NA 1828 1183 2372 NA
1680991200.0 111.0 88 114 276 NA 253 238 480 NA 1190 351 1438 NA 1069 1858 2635 NA
1680991200.0 112.0 90 114 274 NA 254 231 475 NA 1521 390 1442 NA 1881 891 2809 NA
1680991200.0 113.0 91 117 270 NA 272 233 464 NA 1631 378 1430 NA 1342 752 2199 NA
1680991200.0 114.0 94 118 278 NA 267 241 496 NA 1713 398 1479 NA 1223 1311 2739 NA
1680991200.0 115.0 89 118 281 NA 268 234 481 NA 1949 393 1492 NA 1329 818 2222 NA
1680991200.0 116.0 93 119 281 NA 267 243 485 NA 1910 399 1521 NA 1229 1715 2797 NA
1680991200.0 117.0 86 114 284 NA 262 238 486 NA 2128 410 1542 NA 2356 970 2882 NA
1680991200.0 119.0 84 110 277 NA 262 234 493 NA 1389 385 1471 NA 1466 1163 2841 NA
1680991200.0 120.0 68 112 264 NA 207 226 485 NA 571 361 1374 NA 925 1023 2648 NA
1680991200.0 125.0 91 118 273 NA 273 240 485 NA 1826 389 1432 NA 1836 900 2204 NA
1680991200.0 127.0 68 112 270 NA 210 229 479 NA 821 368 1411 NA 1344 796 2786 NA
1680991200.0 128.0 68 112 261 NA 194 230 470 NA 555 366 1357 NA 1096 1304 2263 NA
1680991200.0 132.0 86 119 284 NA 266 242 485 NA 2035 404 1540 NA 1610 1163 2415 NA
1680991200.0 144.6 NA 285 NA NA NA 480 NA NA NA 2681 NA NA NA 4769 NA NA
1680991200.0 21061.97 880 NA NA NA 1451 NA NA NA 8050 NA NA NA 6184 NA NA NA
1680991200.0 2500.31 NA 147 0 NA NA 324 0 NA NA 11941 199 NA NA 7379 1068 NA
1680991200.0 2500.312 NA 191 0 NA NA 461 0 NA NA 12240 200 NA NA 7882 564 NA
1680991200.0 2500.332 NA 171 0 NA NA 345 0 NA NA 6426 187 NA NA 4975 484 NA
1680991200.0 4.28 NA 70 286 0 NA 180 480 0 NA 282 2954 1583 NA 807 3930 2180
1680991200.0 4000.0 NA 134 304 NA NA 281 544 NA NA 1598 3695 NA NA 1862 4199 NA
1680991200.0 4006.0 66 169 332 NA 221 318 549 NA 806 636 1839 NA 1369 1810 2523 NA
1680991200.0 4007.0 64 0 0 NA 195 0 0 NA 581 159 1183 NA 916 472 2206 NA
1680991200.0 4008.0 64 0 0 NA 195 0 0 NA 584 164 1189 NA 1123 1184 2299 NA
1680991200.0 537.0 47 0 NA NA 163 0 NA NA 3756 199 NA NA 3778 831 NA NA
